ticker,n_trades,outcome,p,d,q,arima_order,aic,adf_p,lb_p,rmse,mae,random_walk
KXNBAREB-26APR02PHXCHA-CHAMDIABATE14-10,36,1,0,1,1,"ARIMA(0,1,1)",-120.67,0.4445,0.9989,0.0079,0.0063,Yes
KXNBAREB-26APR02SASLAC-LACKLEONARD2-6,36,1,0,1,0,"ARIMA(0,1,0)",-125.46,0.6348,0.9962,0.0316,0.03,Yes
KXCS2GAME-26APR021300HERPGE-PGE,35,0,3,1,0,"ARIMA(3,1,0)",-154.88,0.8851,0.8795,0.0166,0.0143,Yes
KXMLBHIT-26APR021410MINKC-MINBBUXTON25-1,35,0,0,0,1,"ARIMA(0,0,1)",-15.88,0.01,0.4329,0.5169,0.4519,No
KXMLBHR-26APR021410MINKC-KCJCAGLIANONE14-2,35,0,3,1,0,"ARIMA(3,1,0)",-278.16,0.6551,0.8751,0.0055,0.0054,Yes
KXMLBKS-26APR022140ATLAZ-ATLRLPEZ40-4,35,0,0,1,0,"ARIMA(0,1,0)",-40.7,0.8803,0.9556,0.5369,0.4989,Yes
KXNBA2D-26APR02CLEGSW-CLEJHARDEN1,34,0,0,1,0,"ARIMA(0,1,0)",-93.7,0.8872,0.8703,0.0416,0.0299,Yes
KXNBA2D-26APR02PHXCHA-CHAKKNUEPPEL7,34,0,2,0,0,"ARIMA(2,0,0)",-129.99,0.01,0.9914,0.0723,0.055,No
KXNBAREB-26APR02MINDET-MINRGOBERT27-12,34,0,0,0,0,"ARIMA(0,0,0)",-150.04,0.3269,0.8876,0.0494,0.037,No
KXMLBHRR-26APR021410MINKC-MINBBUXTON25-2,33,0,0,0,1,"ARIMA(0,0,1)",-32.84,0.0108,0.9857,0.3837,0.2925,No
KXMLBKS-26APR022140ATLAZ-ATLRLPEZ40-6,33,0,0,1,0,"ARIMA(0,1,0)",-108.55,0.99,0.9985,0.1834,0.1588,Yes
KXNBA2D-26APR02SASLAC-LACKLEONARD2,33,0,1,0,0,"ARIMA(1,0,0)",-81,0.99,0.3008,0.2626,0.2271,No
KXNBAPTS-26APR02PHXCHA-PHXDBOOKER1-35,33,0,0,1,0,"ARIMA(0,1,0)",-70.62,0.6815,0.4237,0.1704,0.1286,Yes
KXNBAREB-26APR02NOPPOR-NOPZWILLIAMSON1-6,32,0,0,0,0,"ARIMA(0,0,0)",-43.46,0.9281,0.1661,0.2509,0.1743,No
KXMLBHIT-26APR021410MINKC-MINLKEASCHALL15-1,31,1,0,1,0,"ARIMA(0,1,0)",-54.77,0.371,0.4794,0.1535,0.0957,Yes
KXMLBHR-26APR022140ATLAZ-AZKMARTE4-2,31,0,0,0,1,"ARIMA(0,0,1)",-238.53,0.3138,0.5627,0.0053,0.0051,No
KXNBA1HSPREAD-26APR02PHXCHA-CHA6,31,0,0,1,0,"ARIMA(0,1,0)",-35.19,0.2088,0.6005,0.284,0.2643,Yes
KXNBAPTS-26APR02NOPPOR-NOPZWILLIAMSON1-15,31,1,0,1,0,"ARIMA(0,1,0)",-37.54,0.7048,0.0349,0.22,0.2132,No
KXNBAPTS-26APR02PHXCHA-PHXJGREEN4-15,31,1,0,1,0,"ARIMA(0,1,0)",-96.44,0.5883,0.4067,0.1697,0.1601,Yes
KXNBAREB-26APR02MINDET-MINRGOBERT27-10,31,0,0,1,0,"ARIMA(0,1,0)",-40.07,0.7312,0.3669,0.4577,0.3572,Yes
KXNBAREB-26APR02SASLAC-SASSCASTLE5-5,31,0,0,1,0,"ARIMA(0,1,0)",-158.29,0.8371,0.5396,0.0076,0.0057,Yes
KXMLBHIT-26APR021410MINKC-KCSPEREZ13-1,30,1,0,1,0,"ARIMA(0,1,0)",-18.5,0.4108,0.9078,0.5847,0.56,Yes
KXMLBHRR-26APR021410MINKC-KCBWITT7-3,30,0,0,0,0,"ARIMA(0,0,0)",-56.53,0.7396,0.9999,0.1941,0.0937,No
KXNBA1HTOTAL-26APR02NOPPOR-120,30,1,0,1,0,"ARIMA(0,1,0)",-26.79,0.4182,0.5619,0.2522,0.2494,Yes
KXNBAPTS-26APR02SASLAC-SASDHARPER2-20,30,0,1,0,0,"ARIMA(1,0,0)",-13.98,0.6106,0.8253,0.053900000000000003,0.03,No
KXNBAREB-26APR02PHXCHA-CHAMBRIDGES0-6,30,0,0,1,1,"ARIMA(0,1,1)",-226.43,0.6116,0.9981,0.0129,0.0123,Yes
KXMLBKS-26APR022140ATLAZ-AZRNELSON19-4,29,0,1,0,0,"ARIMA(1,0,0)",-4.79,0.5615,0.7406,0.848,0.7717,No
KXNBA3PT-26APR02MINDET-DETTHARRIS12-1,29,0,0,1,0,"ARIMA(0,1,0)",-61.54,0.8076,0.7458,0.0739,0.07,Yes
KXNBAPTS-26APR02NOPPOR-NOPSBEY41-15,29,1,0,1,0,"ARIMA(0,1,0)",-54.26,0.9515,0.5029,0.2844,0.2825,Yes
KXNBAPTS-26APR02PHXCHA-PHXGALLEN8-10,29,1,0,1,0,"ARIMA(0,1,0)",-46.1,0.6492,0.0152,0.213,0.208,No
KXNBAREB-26APR02SASLAC-LACKLEONARD2-7,29,0,0,0,1,"ARIMA(0,0,1)",-32.48,0.7633,0.9785,0.2583,0.18,No
KXNBATEAMTOTAL-26APR02CLEGSW-CLE113,29,1,0,1,0,"ARIMA(0,1,0)",-47.3,0.99,0.7735,0.3412,0.3078,Yes
KXNBATEAMTOTAL-26APR02SASLAC-LAC108,29,0,2,0,0,"ARIMA(2,0,0)",2.72,0.9051,0.9769,0.5725,0.4548,No
KXUE-MEX26FEB-2.9,29,0,0,1,0,"ARIMA(0,1,0)",-178.5,0.7718,0.8049,0.0091,0.005,Yes
KXMLBHIT-26APR021410MINKC-KCMGARCIA11-1,28,1,0,1,0,"ARIMA(0,1,0)",-28.99,0.6126,0.2192,0.2754,0.2565,Yes
KXMLBHIT-26APR022140ATLAZ-ATLRACUNA13-1,28,1,3,1,0,"ARIMA(3,1,0)",-8,0.506,0.978,0.2817,0.2812,Yes
KXMLBTB-26APR021410MINKC-KCBWITT7-2,28,0,1,0,2,"ARIMA(1,0,2)",-50.7,0.3106,0.9328,0.2908,0.2546,No
KXNBA2D-26APR02PHXCHA-CHALBALL1,28,1,0,1,3,"ARIMA(0,1,3)",-49.47,0.5147,0.9152,0.3298,0.3204,Yes
KXNBA2HWINNER-26APR02CLEGSW-CLE,28,0,1,0,0,"ARIMA(1,0,0)",-14.95,0.7497,0.7895,0.6694,0.6677,No
KXNBAPTS-26APR02PHXCHA-CHAMBRIDGES0-25,28,1,0,1,1,"ARIMA(0,1,1)",-16.32,0.8222,0.0957,0.1909,0.19,Yes
KXNBAREB-26APR02MINDET-MINDDIVINCENZO0-4,28,0,0,0,0,"ARIMA(0,0,0)",-83.98,0.6416,1,0.1075,0.0533,No
KXMLBHIT-26APR022140ATLAZ-ATLMOLSON28-1,27,1,0,1,0,"ARIMA(0,1,0)",-67.65,0.581,0.9995,0.0041,0.0017,Yes
KXMLBHR-26APR022140ATLAZ-AZNARENADO28-1,27,0,0,1,0,"ARIMA(0,1,0)",-146.17,0.967,0.2993,0.0818,0.0792,Yes
KXNBA3PT-26APR02PHXCHA-CHAMBRIDGES0-2,27,1,0,1,0,"ARIMA(0,1,0)",-51.82,0.9129,0.1618,0.0686,0.0667,Yes
KXNBAPTS-26APR02NOPPOR-NOPHJONES2-10,27,0,0,1,0,"ARIMA(0,1,0)",-18.01,0.4224,0.5575,0.5451,0.5048,Yes
KXNBAPTS-26APR02NOPPOR-PORDAVDIJA8-20,27,1,1,1,0,"ARIMA(1,1,0)",-109.84,0.478,0.9197,0.0455,0.0402,Yes
KXNBAPTS-26APR02NOPPOR-PORDAVDIJA8-25,27,1,0,1,0,"ARIMA(0,1,0)",-22.16,0.608,0.1476,0.2356,0.2082,Yes
KXMLBHIT-26APR021410MINKC-KCVPASQUANTINO9-1,26,1,0,1,0,"ARIMA(0,1,0)",-55.49,0.6492,0.5833,0.204,0.197,Yes
KXMLBHRR-26APR022140ATLAZ-AZGPERDOMO2-2,26,0,0,1,0,"ARIMA(0,1,0)",-41.98,0.8466,1,0.344,0.2477,Yes
KXNBA1HWINNER-26APR02CLEGSW-TIE,26,0,0,0,0,"ARIMA(0,0,0)",-130.9,0.4838,0.7172,0.0344,0.023,No
KXNBA3PT-26APR02SASLAC-LACKLEONARD2-4,26,1,0,1,1,"ARIMA(0,1,1)",-25.58,0.0789,0.1543,0.2951,0.295,Yes
KXNBAREB-26APR02PHXCHA-CHAMDIABATE14-6,26,1,1,1,1,"ARIMA(1,1,1)",-105.63,0.6291,0.9709,0.1106,0.1096,Yes
KXNBAREB-26APR02SASLAC-SASDFOX4-4,26,1,0,1,1,"ARIMA(0,1,1)",-65.09,0.5744,0.9718,0.0296,0.0286,Yes
KXMLBHR-26APR021410MINKC-MINBBUXTON25-2,25,0,4,0,0,"ARIMA(4,0,0)",-139.63,0.1387,0.9976,0.0142,0.0122,No
KXMLBTB-26APR022140ATLAZ-AZCCARROLL7-2,25,0,1,0,0,"ARIMA(1,0,0)",-129.81,0.6881,0.9979,0.0306,0.0147,No
KXNBA2D-26APR02PHXCHA-PHXDBOOKER1,25,0,1,0,0,"ARIMA(1,0,0)",-107.85,0.99,0.9,0.0744,0.0618,No
KXNBA3PT-26APR02SASLAC-LACDGARLAND10-4,25,0,0,1,0,"ARIMA(0,1,0)",-169.66,0.01,0.5376,0.0063,0.004,Yes
KXNBAAST-26APR02PHXCHA-PHXJGREEN4-2,25,1,0,0,0,"ARIMA(0,0,0)",1.02,0.7959,0.1069,0.5027,0.4406,No
KXNBAPTS-26APR02MINDET-DETTHARRIS12-15,25,0,0,1,0,"ARIMA(0,1,0)",-37.34,0.8695,0.2206,0.3446,0.3265,Yes
KXNBAPTS-26APR02SASLAC-SASSCASTLE5-10,25,1,2,1,0,"ARIMA(2,1,0)",-94.04,0.2489,0.5008,0.014,0.0134,Yes
KXNBAREB-26APR02SASLAC-LACBLOPEZ11-4,25,1,0,1,0,"ARIMA(0,1,0)",-26.24,0.4826,0.8804,0.0077,0.006,Yes
KXNBATEAMTOTAL-26APR02CLEGSW-GSW114,25,0,0,1,0,"ARIMA(0,1,0)",-28.84,0.6812,0.8959,0.2849,0.2611,Yes
KXUE-RUS26FEB-2.4,25,0,2,1,0,"ARIMA(2,1,0)",-90.29,0.4138,0.8979,0.0441,0.0321,Yes
KXMLBHIT-26APR021410MINKC-KCBWITT7-2,24,0,1,0,1,"ARIMA(1,0,1)",-62.56,0.9545,0.9999,0.2761,0.21,No
KXMLBHR-26APR021410MINKC-KCVPASQUANTINO9-2,24,0,2,0,0,"ARIMA(2,0,0)",-194.91,0.3372,0.9941,0.0085,0.0084,No
KXMLBHRR-26APR021410MINKC-KCJCAGLIANONE14-2,24,0,0,0,2,"ARIMA(0,0,2)",-56.85,0.9739,0.9809,0.2319,0.1565,No
KXMLBKS-26APR022140ATLAZ-AZRNELSON19-6,24,0,1,0,0,"ARIMA(1,0,0)",-42.64,0.9242,0.9974,0.2286,0.2132,No
KXNBA2HWINNER-26APR02CLEGSW-GSW,24,0,0,1,0,"ARIMA(0,1,0)",-20.08,0.7029,0.9997,0.0316,0.0253,Yes
KXNBAAST-26APR02MINDET-DETATHOMPSON9-4,24,1,0,1,1,"ARIMA(0,1,1)",-29.47,0.4781,0.269,0.0077,0.006,Yes
KXNBAAST-26APR02PHXCHA-PHXDBOOKER1-4,24,1,1,0,0,"ARIMA(1,0,0)",-88.08,0.99,0.9996,0.098,0.0644,No
KXNBAPTS-26APR02PHXCHA-CHACWHITE3-20,24,0,1,0,0,"ARIMA(1,0,0)",-33.61,0.9565,0.9975,0.2399,0.182,No
KXNBAPTS-26APR02PHXCHA-CHALBALL1-10,24,1,2,1,0,"ARIMA(2,1,0)",-101.25,0.343,0.8365,0.0298,0.0287,Yes
KXNBAPTS-26APR02PHXCHA-CHALBALL1-25,24,0,0,0,0,"ARIMA(0,0,0)",-52.22,0.0523,0.7351,0.2077,0.174,No
KXNBAREB-26APR02MINDET-MINJRANDLE30-6,24,1,0,1,0,"ARIMA(0,1,0)",-31.68,0.6089,0.8349,0.2461,0.2388,Yes
KXNBAREB-26APR02NOPPOR-NOPHJONES2-4,24,1,0,1,0,"ARIMA(0,1,0)",-31.54,0.5115,0.9982,0.02,0.02,Yes
KXNBATEAMTOTAL-26APR02CLEGSW-GSW111,24,0,0,1,1,"ARIMA(0,1,1)",-15.41,0.2398,0.7722,0.2654,0.2342,Yes
KXMLBHR-26APR021410MINKC-KCBWITT7-2,23,0,2,0,0,"ARIMA(2,0,0)",-174.58,0.2454,0.5873,0.0044,0.0042,No
KXMLBHR-26APR021410MINKC-KCSPEREZ13-2,23,0,2,0,0,"ARIMA(2,0,0)",-160.72,0.0996,0.9994,0.0112,0.0107,No
KXMLBTB-26APR021410MINKC-KCJCAGLIANONE14-2,23,0,0,0,0,"ARIMA(0,0,0)",-27.15,0.3214,0.9187,0.2898,0.2199,No
KXNBA3PT-26APR02SASLAC-LACKLEONARD2-2,23,1,0,1,1,"ARIMA(0,1,1)",-47.83,0.1965,0.5211,0.1166,0.1056,Yes
KXNBAAST-26APR02MINDET-DETTHARRIS12-2,23,0,0,1,0,"ARIMA(0,1,0)",-61.85,0.6547,0.9283,0.0167,0.016,Yes
KXNBAPTS-26APR02MINDET-MINJRANDLE30-15,23,1,0,1,0,"ARIMA(0,1,0)",-106.47,0.3752,0.7324,0.0531,0.0497,Yes
KXNBAPTS-26APR02NOPPOR-NOPSBEY41-20,23,0,1,0,0,"ARIMA(1,0,0)",-28.63,0.912,0.7607,0.1493,0.08,No
KXNBAPTS-26APR02PHXCHA-PHXDBROOKS3-10,23,1,1,2,1,"ARIMA(1,2,1)",-92.45,0.9382,0.7668,0.0155,0.0125,Yes
KXNBAREB-26APR02SASLAC-LACJCOLLINS20-6,23,1,0,1,0,"ARIMA(0,1,0)",-11.71,0.9061,0.9589,0.1789,0.082,Yes
KXNBATEAMTOTAL-26APR02SASLAC-SAS124,23,0,0,1,0,"ARIMA(0,1,0)",-15.44,0.6393,0.0765,0.0513,0.0401,Yes
KXMLBHRR-26APR022140ATLAZ-ATLMOLSON28-2,22,1,0,0,0,"ARIMA(0,0,0)",-44.23,0.9502,1,0.1699,0.076,No
KXNBA2D-26APR02MINDET-DETATHOMPSON9,22,0,0,0,1,"ARIMA(0,0,1)",-58.13,0.6365,0.7671,0.2445,0.236,No
KXNBA3PT-26APR02NOPPOR-PORDAVDIJA8-3,22,0,0,1,0,"ARIMA(0,1,0)",-46.09,0.5552,0.5608,0.0659,0.058,Yes
KXNBA3PT-26APR02PHXCHA-CHAMBRIDGES0-3,22,1,0,1,0,"ARIMA(0,1,0)",-6.99,0.1809,0.6886,0.329,0.3,Yes
KXNBAAST-26APR02PHXCHA-CHALBALL1-10,22,1,0,1,0,"ARIMA(0,1,0)",-25.63,0.5413,0.7222,0,0,Yes
KXNBAPTS-26APR02PHXCHA-PHXGALLEN8-15,22,0,1,0,0,"ARIMA(1,0,0)",-12.16,0.4806,0.2115,0.5725,0.5722,No
KXNBAREB-26APR02PHXCHA-CHABMILLER24-4,22,1,0,1,1,"ARIMA(0,1,1)",-70.5,0.7701,0.8845,0.0089,0.008,Yes
KXNBAREB-26APR02SASLAC-LACBLOPEZ11-5,22,1,1,1,0,"ARIMA(1,1,0)",-23.57,0.909,0.5986,0.0038,0.0037,Yes
KXNBAREB-26APR02SASLAC-LACBLOPEZ11-6,22,1,0,1,0,"ARIMA(0,1,0)",-35.71,0.9538,0.1088,0.0045,0.002,Yes
KXMLBHIT-26APR022140ATLAZ-ATLARILEY27-1,21,1,0,1,0,"ARIMA(0,1,0)",-31,0.5145,0.862,0.3423,0.3282,Yes
KXNBA2D-26APR02NOPPOR-PORDCLINGAN23,21,0,0,1,0,"ARIMA(0,1,0)",-27.27,0.5409,0.8006,0.1112,0.088,Yes
KXNBA3D-26APR02NOPPOR-PORDAVDIJA8,21,0,2,1,0,"ARIMA(2,1,0)",-91.66,0.01,0.0445,0.0229,0.0207,No
KXNBA3PT-26APR02PHXCHA-CHACWHITE3-5,21,0,1,0,0,"ARIMA(1,0,0)",14.87,0.9677,0.7479,0.6467,0.584,No
KXNBA3PT-26APR02SASLAC-SASSCASTLE5-1,21,1,0,1,0,"ARIMA(0,1,0)",-70.75,0.6457,0.7261,0.0981,0.098,Yes
KXNBAAST-26APR02SASLAC-SASDFOX4-6,21,0,0,0,0,"ARIMA(0,0,0)",-15.14,0.3029,0.998,0.2974,0.234,No
KXNBAPTS-26APR02MINDET-DETDROBINSON55-20,21,0,0,0,1,"ARIMA(0,0,1)",-37.15,0.8149,0.1835,0.1815,0.1378,No
KXNBAPTS-26APR02PHXCHA-CHAMDIABATE14-10,21,0,1,0,0,"ARIMA(1,0,0)",-40.93,0.99,0.8514,0.2164,0.1646,No
KXNBAREB-26APR02NOPPOR-PORDAVDIJA8-7,21,1,0,1,0,"ARIMA(0,1,0)",-15.64,0.4681,0.2883,0.19,0.19,Yes
KXNBAREB-26APR02NOPPOR-PORDCLINGAN23-13,21,0,0,1,0,"ARIMA(0,1,0)",-157.64,0.3244,0.9999,0,0,Yes
KXNBAREB-26APR02PHXCHA-CHAMDIABATE14-8,21,1,0,1,0,"ARIMA(0,1,0)",-65.74,0.5066,0.7103,0.0447,0.044,Yes
KXMLBHIT-26APR022140ATLAZ-ATLOALBIES1-1,20,1,0,1,0,"ARIMA(0,1,0)",-33.39,0.5788,0.9046,0.02,0.01,Yes
KXMLBHRR-26APR021410MINKC-MINRLEWIS23-2,20,0,0,0,0,"ARIMA(0,0,0)",-32.25,0.5109,0.9993,0.2129,0.1225,No
KXMLBHRR-26APR022140ATLAZ-ATLRACUNA13-3,20,0,0,0,0,"ARIMA(0,0,0)",-33.45,0.99,0.9984,0.2201,0.1125,No
KXNBA2D-26APR02NOPPOR-NOPDQUEEN22,20,0,1,0,0,"ARIMA(1,0,0)",-117.8,0.2592,0.986,0.0168,0.0129,No
KXNBA3PT-26APR02SASLAC-SASDFOX4-2,20,0,0,0,0,"ARIMA(0,0,0)",-20.8,0.99,0.514,0.2597,0.165,No
KXNBAREB-26APR02MINDET-MINJRANDLE30-7,20,0,0,0,0,"ARIMA(0,0,0)",-108.16,0.99,0.9769,0.03,0.015,No
KXNBAREB-26APR02NOPPOR-NOPDQUEEN22-6,20,1,0,1,0,"ARIMA(0,1,0)",-44.6,0.3721,0.2263,0.1006,0.09,Yes
KXNBATEAMTOTAL-26APR02NOPPOR-NOP110,20,0,1,1,0,"ARIMA(1,1,0)",-22.36,0.6971,0.4652,0.1183,0.0896,Yes
KXUE-MEX26FEB-2.7,20,0,0,1,0,"ARIMA(0,1,0)",-121.19,0.8526,0.7434,0.01,0.01,Yes
